id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
MG52518151,Ambahita,Ambahita,ambahita,MG52518151,-24.009,45.302
MG52518091,Ambatosola,Ambatosola,ambatosola,MG52518091,-24.017,45.386
MG52518290,Anivorano Mitsinjo,Anivorano Mitsinjo,anivorano-mitsinjo,MG52518290,-24.36,45.643
MG52518050,Anja Nord,Anja Nord,anja-nord,MG52518050,-24.293,45.279
MG52518031,Ankaranabo Nord,Ankaranabo Nord,ankaranabo-nord,MG52518031,-24.199,45.232
MG52518070,Antsakoamaro,Antsakoamaro,antsakoamaro,MG52518070,-24.306,45.123
MG52518230,Bekitro,Bekitro,bekitro,MG52518230,-24.557,45.258
MG52518170,Belindo Mahasoa,Belindo Mahasoa,belindo-mahasoa,MG52518170,-24.486,45.463
MG52518251,Beraketa,Beraketa,beraketa,MG52518251,-24.14,45.663
MG52518032,Besakoa,Besakoa,besakoa,MG52518032,-24.156,45.256
MG52518190,Beteza,Beteza,beteza,MG52518190,-24.458,45.147
MG52518270,Bevitiky,Bevitiky,bevitiky,MG52518270,-24.653,45.392
MG52518130,Manakompy,Manakompy,manakompy,MG52518130,-24.324,45.395
MG52518152,Maroviro,Maroviro,maroviro,MG52518152,-23.846,45.345
MG52518010,Morafeno Bekily,Morafeno Bekily,morafeno-bekily,MG52518010,-24.254,45.292
MG52518210,Tanandava,Tanandava,tanandava,MG52518210,-14.766,49.67
MG52518110,Tsikolaky,Tsikolaky,tsikolaky,MG52518110,-24.337,45.254
MG52518092,Tsirandrany,Tsirandrany,tsirandrany,MG52518092,-24.128,45.358
MG52518252,Vohimanga,Vohimanga,vohimanga,MG52518252,-24.023,45.572
