id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
MG41405019,Ambato Ambarimay,Ambato Ambarimay,ambato-ambarimay,MG41405019,-16.542,46.748
MG41405112,Ambondromamy,Ambondromamy,ambondromamy,MG41405112,-16.374,47.199
MG41405052,Andranofasika,Andranofasika,andranofasika,MG41405052,-16.383,46.871
MG41405150,Andranomamy,Andranomamy,andranomamy,MG41405150,-16.577,47.153
MG41405090,Anjiajia,Anjiajia,anjiajia,MG41405090,-16.489,46.954
MG41405051,Ankijabe,Ankijabe,ankijabe,MG41405051,-16.411,46.748
MG41405130,Ankirihitra,Ankirihitra,ankirihitra,MG41405130,-16.928,46.415
MG41405070,Madirovalo,Madirovalo,madirovalo,MG41405070,-16.513,46.478
MG41405170,Manerinerina,Manerinerina,manerinerina,MG41405170,-16.289,47.28
MG41405190,Sitampiky,Sitampiky,sitampiky,MG41405190,-16.848,46.017
MG41405111,Tsaramandroso,Tsaramandroso,tsaramandroso,MG41405111,-16.368,47.057
