id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
MG21224050,Alakamisy Itenina,Alakamisy Itenina,alakamisy-itenina,MG21224050,-21.661,47.146
MG21224230,Andranomiditra,Andranomiditra,andranomiditra,MG21224230,-21.661,47.311
MG21224190,Andranovorivato,Andranovorivato,andranovorivato,MG21224190,-21.634,46.974
MG21224110,Ankaromalaza Mifanasoa,Ankaromalaza Mifanasoa,ankaromalaza-mifanasoa,MG21224110,-21.739,47.157
MG21224090,Ihazoara,Ihazoara,ihazoara,MG21224090,-21.584,47.292
MG21224270,Mahaditra,Mahaditra,mahaditra,MG21224270,-21.775,47.091
MG21224010,Mahasoabe,Mahasoabe,mahasoabe,MG21224010,-22.273,47.769
MG21224150,Maneva,Maneva,maneva,MG21224150,-21.59,47.082
MG21224250,Soaindrana,Soaindrana,soaindrana,MG21224250,-21.498,47.023
MG21224070,Talata Ampano,Talata Ampano,talata-ampano,MG21224070,-21.547,47.041
MG21224030,Vinanitelo,Vinanitelo,vinanitelo,MG21224030,-22.011,47.701
MG21224210,Vohibato Ouest,Vohibato Ouest,vohibato-ouest,MG21224210,-21.597,47.115
MG21224130,Vohimarina,Vohimarina,vohimarina,MG21224130,-21.618,46.843
MG21224170,Vohitrafeno,Vohitrafeno,vohitrafeno,MG21224170,-21.697,47.226
