id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
MG23212190,Andemaka,Andemaka,andemaka,MG23212190,-22.29,47.726
MG23212090,Ankarimbary,Ankarimbary,ankarimbary,MG23212090,-22.32,47.775
MG23212053,Anoloka,Anoloka,anoloka,MG23212053,-22.364,47.897
MG23212212,Antananabo,Antananabo,antananabo,MG23212212,-22.455,47.707
MG23212211,Ifatsy,Ifatsy,ifatsy,MG23212211,-22.378,47.748
MG23212230,Ilakatra,Ilakatra,ilakatra,MG23212230,-22.369,47.626
MG23212051,Ivato,Ivato,ivato,MG23212051,-22.437,47.239
MG23212110,Lanivo,Lanivo,lanivo,MG23212110,-22.276,47.805
MG23212070,Mahabo,Mahabo,mahabo,MG23212070,-20.368,44.661
MG23212150,Mahasoabe,Mahasoabe,mahasoabe,MG23212150,-22.273,47.769
MG23212270,Mahazoarivo,Mahazoarivo,mahazoarivo,MG23212270,-22.649,47.329
MG23212130,Nato,Nato,nato,MG23212130,-22.276,47.887
MG23212171,Onjatsy,Onjatsy,onjatsy,MG23212171,-22.419,47.905
MG23212250,Sahalava,Sahalava,sahalava,MG23212250,-22.247,47.664
MG23212052,Savana,Savana,savana,MG23212052,-22.373,47.908
MG23212172,Vohilany,Vohilany,vohilany,MG23212172,-22.415,47.879
MG23212032,Vohindava,Vohindava,vohindava,MG23212032,-22.449,47.862
MG23212010,Vohipeno,Vohipeno,vohipeno,MG23212010,-17.136,49.251
MG23212031,Vohitrindry,Vohitrindry,vohitrindry,MG23212031,-22.414,47.805
